Image name,Position,Region type,ID,Area [pixels],Perimeter [pixels],Eccentricity,Orientation [radians],Solidity,Extent,Major Axis Length [pixels],Minor Axis Length [pixels],Equivalent Diameter [pixels]
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,top_left,void,28,135.0,52.627,0.918,-0.149,0.9,0.587,22.01,8.738,13.111
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,top_left,void,29,398.0,82.426,0.647,-0.297,0.95,0.624,27.176,20.73,22.511
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,top_left,void,30,458.0,89.841,0.671,0.411,0.954,0.596,29.945,22.192,24.148
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,top_left,void,31,354.0,79.977,0.785,0.59,0.954,0.592,28.463,17.628,21.23
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,top_left,void,32,311.0,85.326,0.91,1.005,0.904,0.405,33.356,13.817,19.899
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,top_left,void,33,490.0,94.083,0.778,0.964,0.955,0.567,33.594,21.12,24.978
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,top_left,void,34,221.0,64.042,0.871,1.393,0.957,0.654,25.327,12.433,16.775
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,top_left,void,35,151.0,53.456,0.852,-1.218,0.915,0.553,20.253,10.615,13.866
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,top_left,void,36,265.0,69.32,0.819,1.375,0.93,0.592,25.727,14.777,18.369
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,top_left,void,37,112.0,48.178,0.932,1.567,0.911,0.583,20.956,7.611,11.942
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,top_left,void,38,156.0,53.456,0.828,-1.213,0.918,0.571,19.887,11.145,14.093
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,top_left,void,39,191.0,65.698,0.934,1.285,0.905,0.507,27.659,9.86,15.595
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,top_left,void,40,17.0,12.243,0.977,0.971,0.85,0.315,10.341,2.212,4.652
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,top_left,void,41,6.0,4.414,0.989,1.341,0.667,0.5,7.012,1.03,2.764
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,top_left,void,42,39.0,29.657,0.979,1.449,0.848,0.609,15.928,3.284,7.047
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,top_left,void,43,1.0,0.0,0.0,-0.785,1.0,1.0,0.0,0.0,1.128
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,bottom_left,part,0,39106.0,4086.62,0.135,-1.028,0.768,0.727,277.633,275.098,223.14
